도시,권역,인구,면적,평균기온,1월기온,8월기온,강수량
서울,수도권,9411000,605.2,12.8,-2.4,25.7,1417
인천,수도권,2954000,1063.3,12.5,-2.1,25.4,1234
수원,수도권,1194000,121.0,12.4,-2.8,25.6,1312
부산,영남,3349000,770.1,15.0,3.2,26.2,1519
대구,영남,2410000,883.5,14.5,0.5,26.8,1064
울산,영남,1136000,1062.0,14.4,1.8,26.5,1277
창원,영남,1037000,747.7,14.7,1.5,26.3,1517
포항,영남,500000,1129.9,14.6,1.6,26.4,1152
대전,충청,1452000,539.5,13.2,-1.0,25.6,1394
청주,충청,847000,940.3,12.9,-1.8,25.8,1232
천안,충청,663000,636.6,12.3,-2.5,25.4,1245
광주,호남,1441000,501.2,14.1,0.6,26.1,1391
전주,호남,654000,206.2,13.6,0.1,26.2,1313
목포,호남,219000,51.7,14.2,1.5,25.8,1163
강릉,강원,213000,1040.4,13.4,0.3,24.6,1464
춘천,강원,286000,1116.4,11.4,-4.5,24.8,
원주,강원,360000,872.6,11.7,-4.2,24.5,1335
제주,제주,492000,978.7,16.2,6.7,27.0,1497
서귀포,제주,184000,871.5,16.9,7.4,27.2,1923
세종,충청,388000,464.9,,-1.5,25.7,1281
